Microbe,Cytokine,Correlation,P-value,Corrected_P-value,Exceeds_Perm_Threshold
Acidipropionibacterium,IL17F,0.04500588895871131,0.38544971789762694,0.7087825104907677,False
Acidipropionibacterium,FASL,0.015896133596861758,0.7592948484219785,0.9173238718712252,False
Acidipropionibacterium,TGFA,-0.02447768082807297,0.6370253298844601,0.8588093249157738,False
Acidipropionibacterium,MIP1A,0.0028869772107314668,0.9556248479508401,0.9850504294042394,False
Acidipropionibacterium,SDF1A,-0.0579403829068799,0.2636942634409259,0.5978645115946483,False
Acidipropionibacterium,IL27,-0.02496634117730185,0.6303140437966847,0.8553386100159291,False
Acidipropionibacterium,LIF,-0.002090089354551329,0.9678657965724983,0.9892852350591476,False
Acidipropionibacterium,IL1B,-0.025284672665274566,0.6259583035341498,0.8529438817977316,False
Acidipropionibacterium,IL2,-0.04386491153368182,0.3976226993350025,0.7145683292397147,False
Acidipropionibacterium,IL4,0.021229808741137012,0.6823659168233209,0.8847758252952572,False
Acidipropionibacterium,IL5,0.06550737301667638,0.20624092450077344,0.539786284575195,False
Acidipropionibacterium,IP10,0.0028803092332546176,0.9557272351568638,0.9850504294042394,False
Acidipropionibacterium,IL6,-0.026923109571620234,0.6037472339748906,0.839378013278769,False
Acidipropionibacterium,IL7,0.06397494715641727,0.21707627093968695,0.5528460026670257,False
Acidipropionibacterium,IL8,-0.07304789390111861,0.1585886130051273,0.4854220847880474,False
Acidipropionibacterium,IL10,-0.03920099187956821,0.4497307488633656,0.7479873557846737,False
Acidipropionibacterium,IFNB,0.0033463172875900457,0.9485734996166404,0.9839412097503842,False
Acidipropionibacterium,EOTAXIN,0.12930390169177838,0.012322804899392763,0.13415292375985113,True
Acidipropionibacterium,IL12P70,0.024612869432791434,0.6351656427379164,0.8584707857793811,False
Acidipropionibacterium,IL13,-0.0024281309937891748,0.9626720702989725,0.987204242733345,False
Acidipropionibacterium,IL17A,-0.03099990560699304,0.5500758297494633,0.8124465669671799,False
Acidipropionibacterium,IL31,0.019894328291221692,0.7013579033648925,0.8928003623063508,False
Acidipropionibacterium,IL1RA,-0.062303271806123606,0.22935471378906078,0.5632919467178518,False
Acidipropionibacterium,SCF,-0.0592708671627273,0.2528673437415668,0.5893900493224489,False
Acidipropionibacterium,RANTES,-0.12916776318677403,0.012415629539288065,0.1345227433577231,True
Acidipropionibacterium,IFNG,-0.05561917997836716,0.2833366905292162,0.6203862319935284,False
Acidipropionibacterium,GMCSF,-0.07373791722519996,0.15468164542871038,0.4801567910548505,False
Acidipropionibacterium,TNFA,-0.02945097497945417,0.5701902041704623,0.8218760786362871,False
Acidipropionibacterium,HGF,0.0455953793877391,0.37925034542884883,0.7033984466814136,False
Acidipropionibacterium,MIP1B,-0.029180069600858782,0.5737437280538409,0.8218760786362871,False
